Decode1,Pal,
317.9us,0032,,
318.3us,0033,,
318.7us,0033,,
319.1us,0033,,
319.5us,0033,,
320us,0033,,
320.4us,0023,,
320.8us,0023,,
321.2us,0024,,
321.6us,0024,,
322us,0024,,
322.5us,0024,,
322.9us,0025,,
323.3us,0025,,
323.7us,0025,,
324.1us,0025,,
324.5us,0026,,
325us,0028,,
325.4us,0028,,
325.8us,0029,,
326.2us,0029,,
326.6us,0029,,
327us,002A,,
327.5us,002A,,
327.9us,002A,,
328.3us,0033,,
328.7us,0033,,
329.1us,0033,,
329.5us,0034,,
330us,0034,,
330.4us,0034,,
330.8us,0034,,
331.2us,0034,,
331.6us,0035,,
332us,0035,,
332.5us,0035,,
332.9us,0036,,
333.3us,0032,,
333.7us,0032,,
334.1us,0033,,
334.5us,0033,,
335us,0033,,
335.4us,0033,,
335.8us,0033,,
336.2us,0023,,
336.6us,0023,,
337us,0024,,
337.5us,0024,,
337.9us,0024,,
338.3us,0024,,
338.7us,0025,,
339.1us,0025,,
339.5us,0025,,
340us,0025,,
340.4us,0026,,
340.8us,0028,,
341.2us,0028,,
341.6us,0029,,
342us,0029,,
342.5us,0029,,
342.9us,002A,,
343.3us,002A,,
343.7us,002A,,
344.1us,0033,,
344.5us,0033,,
345us,0033,,
345.4us,0034,,
345.8us,0034,,
346.2us,0034,,
346.6us,0034,,
347us,0034,,
347.5us,0035,,
347.9us,0035,,
348.3us,0035,,
348.7us,0036,,
349.1us,0032,,
349.5us,0032,,
350us,0033,,
350.4us,0033,,
350.8us,0033,,
351.2us,0033,,
351.6us,0033,,
352us,0023,,
352.5us,0023,,
352.9us,0024,,
353.3us,0024,,
353.7us,0024,,
354.1us,0024,,
354.5us,0025,,
355us,0025,,
355.4us,0025,,
355.8us,0025,,
356.2us,0026,,
356.6us,0028,,
357us,0028,,
357.5us,0029,,
357.9us,0029,,
358.3us,0029,,
358.7us,002A,,
359.1us,002A,,
359.5us,002A,,
360us,0033,,
360.4us,0033,,
360.8us,0033,,
361.2us,0034,,
361.6us,0034,,
362us,0034,,
362.5us,0034,,
362.9us,0034,,
363.3us,0035,,
363.7us,0035,,
364.1us,0035,,
364.5us,0036,,
365us,0032,,
365.4us,0032,,
365.8us,0033,,
366.2us,0033,,
366.6us,0033,,
367us,0033,,
367.5us,0033,,
367.9us,0023,,
368.3us,0023,,
368.7us,0024,,
369.1us,0024,,
369.5us,0024,,
370us,0024,,
370.4us,0025,,
370.8us,0025,,
371.2us,0025,,
371.6us,0025,,
372us,0026,,
372.5us,0028,,
372.9us,0028,,
373.3us,0029,,
373.7us,0029,,
374.1us,0029,,
374.5us,002A,,
375us,002A,,
375.4us,002A,,
375.8us,0033,,
376.2us,0033,,
376.6us,0033,,
377us,0034,,
377.5us,0034,,
377.9us,0034,,
378.3us,0034,,
378.7us,0034,,
379.1us,0035,,
379.5us,0035,,
380us,0035,,
380.4us,0036,,
380.8us,0032,,
381.2us,0032,,
381.6us,0033,,
382us,0033,,
382.5us,0033,,
382.9us,0033,,
383.3us,0033,,
383.7us,0023,,
384.1us,0023,,
384.5us,0024,,
385us,0024,,
385.4us,0024,,
385.8us,0024,,
386.2us,0025,,
386.6us,0025,,
387us,0025,,
387.5us,0025,,
387.9us,0026,,
388.3us,0028,,
388.7us,0028,,
389.1us,0029,,
389.5us,0029,,
390us,0029,,
390.4us,002A,,
390.8us,002A,,
391.2us,002A,,
391.2us,7FFF,,
391.6us,7FFF,,
392us,7FFF,,
392.5us,7FFF,,
392.9us,0000,,
393.3us,0000,,
393.7us,0000,,
394.1us,0000,,
394.5us,0000,,
395us,0000,,
395.4us,0000,,
395.8us,0000,,
396.2us,0001,,
396.6us,0031,,
397us,0031,,
397.5us,0032,,
397.9us,0032,,
398.3us,0032,,
398.7us,0032,,
399.1us,0032,,
399.5us,0001,,
400us,0001,,
400.4us,0002,,
400.8us,0002,,
401.2us,0002,,
401.6us,0003,,
402us,0003,,
402.5us,0003,,
402.9us,0003,,
403.3us,0003,,
403.7us,0004,,
404.1us,0004,,
404.5us,0004,,
405us,0005,,
405.4us,0005,,
405.8us,0005,,
406.2us,0005,,
406.6us,0005,,
407us,0006,,
407.5us,0006,,
407.9us,0006,,
408.3us,0007,,
408.7us,0007,,
409.1us,0007,,
409.5us,0007,,
410us,0007,,
410.4us,0008,,
410.8us,0008,,
411.2us,0008,,
411.6us,0009,,
412us,0009,,
412.5us,0009,,
412.9us,0009,,
413.3us,0009,,
413.7us,000A,,
414.1us,000A,,
414.5us,000A,,
415us,000B,,
415.4us,000B,,
415.8us,000B,,
416.2us,000B,,
416.6us,000B,,
417us,000C,,
417.5us,000C,,
417.9us,000C,,
418.3us,000D,,
418.7us,000D,,
419.1us,000D,,
419.5us,000D,,
420us,000D,,
420.4us,000E,,
420.8us,000E,,
421.2us,000E,,
421.6us,000F,,
422us,000F,,
422.5us,000F,,
422.9us,000F,,
423.3us,000F,,
423.7us,0010,,
424.1us,0010,,
424.5us,0010,,
425us,0032,,
425.4us,0032,,
425.8us,0032,,
426.2us,0033,,
426.6us,0033,,
427us,0033,,
427.5us,0033,,
427.9us,0033,,
428.3us,0023,,
428.7us,0023,,
429.1us,0024,,
429.5us,0024,,
430us,0024,,
430.4us,0024,,
430.8us,0025,,
431.2us,0025,,
431.6us,0025,,
432us,0025,,
432.5us,0026,,
432.9us,0028,,
433.3us,0028,,
433.7us,0029,,
434.1us,0029,,
434.5us,0029,,
435us,002A,,
435.4us,002A,,
435.8us,002A,,
436.2us,0033,,
436.6us,0033,,
437us,0033,,
437.5us,0034,,
